model,threshold,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,accuracy,precision,recall,f1_score,roc_auc
random_forest,0.55,0.9274188562596599,0.6505850484923872,0.8602456627141402,0.7377511983474145,0.9722851114093594,0.9340614053162992,0.5206766917293233,0.8099415204678363,0.6338672768878718,0.9669942609423878
xgboost,0.55,0.9316846986089644,0.6807195878104144,0.8138467102495008,0.7381371324218093,0.9721024794537968,0.9406552647846693,0.5557851239669421,0.7865497076023392,0.6513317191283293,0.9694625613023915
lstm,0.55,,,,,,0.9063488715460873,0.4301369863013699,0.9181286549707602,0.585820895522388,0.9576830991626221
